title,genres,categories,reviews
Like Thunder,Fantasy,Teen & Young Adult,no reviews
Slaying the Vampire Conqueror,"Fantasy,Paranormal",Romance,no reviews
Eldest,"Literature & Fiction,Epic",Teen & Young Adult,"I found myself enjoying this title the more the title progressed. It was one of those books that tends to build so smoothly up to those points of sheer action. Also of specific note is the growth that one is able to witness in the general writing style of the author. The way Christopher Paolini seems to tackle certain issues in this book as opposed to book one (Eragon) also lent to the book being even more enjoyable than the previous.,Book 2 of the Inheritance Cycle is your typical mythical fantasy novel. I couldn't help but notice slight similarities with Star Wars regarding some of the twists that the story takes. That being said, I found the entire title put together very well. In this book you get a glimpse in the lives of the elves and see as Eragon himself grows into an impressive Dragon Rider. Another great addition to this story was Roran, Eragon's cousin, whose own struggles and quest becomes even more challenging and exciting than Eragon's it would seem. A number of new characters were introduced in this title and it would seem that no one from the previous novel was forgotten either, all reappearing in some form or another through the scope of the title.,The narration grew on me throughout this book. You sometimes forget that it is one person doing the narration even though there are so many distinct voices, tones and intonations in the title. The narration in this case only adds to the title here.,Truly an impressive listen all over. I look forward to listening to the third book in this series.,Like the book- hate the voice used for all the Dragons.  Saphira is a female dragon but for some reason Doyle believes her voice should sound just like Cookie Monster from Sesame Street.,I’ve owned this series of books for several years and as I started reading back through them I decided to get the audible version... it was a waste. I couldn’t get past the first chapter because the narration was so bad. The overly thick accent of the narrator made it difficult enough, but when Saphira’s ‘voice’ was conveyed he made it sound like a troll! I couldn’t listen any longer. Dragons are majestic, magical, and powerful in Paolini’s world. The narrator made her sound brutish, unintelligent, and barely understandable. Absolutely horrible! Literally the worst narration I’ve heard on audible in my many years and scores of titles.,I thought book one was good but book two is even better with more twists and unexpected surprises.  I loved the action and suspense.  I could not stop listening to the book and cannot wait until book 3 comes out to finish the story.,Great story. A standard hero quest but very enjoyable to listen to and I found myself caring about the characters. It built well upon Eragon and I'm looking forward to the next book. I found myself admiring the narrator more and more as the book went on he did an excellent job. I think this is one story best heard, I agree with another reviewer this may have been a bit heavy reading, but being able to relax and enjoy the ride was perfect. Good job and definitely will finish out the series when it is done.,The story is without a doubt, one of the best I've ever been exposed to. It is simple to follow, yet full of enough adventure to thrill any reader.,If the book doesn't keep your attention, the reader, Mr Doyle will keep you interested. His voice inflections, various voices, etc are the very best I've heard since becoming an Audible member.,Everyone with the remotest interest needs to download/ buy this book!,,Richard Allen, RN,love the narration, just feel like safiras voice could be less raspy :P but everything else is amazing.,I expected more from this series and am now on a quest of my own: to finish it, no matter how hard. There are scenes that I have enjoyed in these books, and for an author's first attempts into writing, these are very good. I would even say thhat they are excellent...for that level of author. Unfortunately, they are not good on the level of other authors, and the borrowed LOTR names and insights are disturbing to a die-hard LOTR fan. Here are but a FEW striking similarities. I have read that he had other inspirations but the similarities remain very annoying to me as I navigate the books.,,1. Eragon / Aragorn,2. Beor Mountains / Beor from the Hobbit,3. The Grey Folk / The Grey Elves,4. The Dwarves and their origins are almost taken exactly from the Silmarillion.,5. The use of song to create things is also exactly how Middle Earth was created in the Silmarillion.,6. Eragon's poem that uses the words ""the land of shadow"" multiple times is strikingly similar to Tolkien's ""In the Land of Mordor, where the shadows lie"",7. Ellesmera = Lothlorien,,Much of the other parts of the book seem original enough, but these are just a few of the DIRECT similarities with LOTR that I have to really swallow or I would toss the book altogether.,,Other criticisms are the overly descriptive discussions of inconsequential things...meals etc. that do not fit with other parts of the story. Tolkien was descriptive of absolutely everything, while here some things are described in detail while others are not, and there is no rhyme or reason as to why one is explained and another glossed over.,,The reader gives Eragon a very high pitched voice, which seems to make Eragon mad every time he opens his mouth.  It is less so in this book, but the first book was terrible for the constant ""high-pitched soft-yell"" that was Eragon's voice.,,Having said all this, I am still listening to the audiobook and like it enough to finish it...but I am not quite sure why.,I love this book but the narration ruins it! The little ""voices"" that Doyle makes for the characters are often mocking and diminish the characters' weight. Does he know that Saphira is female?,The narration on this amazing book is excellent!  I listened to this book while on an exercise bike, and increased to 1 hour a day because I wanted to hear what would happen next!  It's a great listen for a long drive, as well.,,I would recommend this to any fantasy/sci-fi fan for a great adventure.,,The author doesn't talk down to the audience, and he has taken a character through a difficult changes with help from wise mentors and good friends.  A good reminder for those of us on either side of that equation.,The story is amazing and Gerard Doyle is just wonderful in his narration... Wonderful all round. The story can take you away and immerse you in so much magic. So pleased to have found this is my later years as it has brought me back the joy I had in reading Harry Potter, The hobbit and other such fantasies as a child. I am pleased I kept this new adventure for another time in my life when an adventure was sorely needed.,Loved the story. I recommend it to anyone who would like to forget themselves in a well written tale."
Iron Gold,"Fantasy,Adventure,Dystopian,Military",Science Fiction & Fantasy,"What disappointed you about Iron Gold?,I despised the new narrators. I just listened to 3 books that were masterfully done, then you give me this. I don't understand why you change it up. Tim was so good by himself.,Story is okay, not up to the standards of the first 3 books. The narrators are okay except the audio really needs to be more balanced. If I have it loud enough to hear the quiet parts, the loud parts are piercing. This make sections of the book almost unbearable.,Tim Gerard Reynolds is the most perfect gorydamn narrator for the poetry Pierce Brown writes. I cannot even focus on the story, the other narrative is so obnoxious. AUDIBLE FIX THIS!!!,How could the performance have been better?,I understand the appeal of a cast of narrators but a part of me wishes Tim Gerard Reynolds narrated the entire book. He is so intricately entwined with the original trilogy that is startling when you first hear a new narrator early in the book. Honestly, I want a solo version with only Tim....that or switch it up and form a super-group of Tim Gerard Reynolds, Kate Reading, and Michael Kramer...could you imagine?,TGR needs to go back and narrate the entire book. The other narrators completely ruin the experience for me.,What made the experience of listening to Iron Gold the most enjoyable?,Tim Gerald Reynolds is a master narrator. Reynolds has already developed the voices for these characters in 3 other books. Adding the other narrators takes away from TGR performance and the Red Rising experience. It does not flow effortlessly like the other books and gets confusing. Missed the mark as far as the audible version is concerned.,the narration, the story is all great but the audio volume is poorly balanced so it's hard to hear unless you're in a really quiet environment. the loud parts are too loud and the quiet parts are too quiet.  can't really listen to it on the go.,My review is purely on the quality of the audio book.  I have some issues with the story as well, but as I haven't finished it yet, I'm willing to reserve judgment.,,Overall, the quality of the audio mixing for this book was pretty bad.  From chapter to chapter and sometimes even within chapters, there are noticeable changes in volume that force me to adjust the volume far more often than I'm comfortable with.,,My biggest complaint about the audio book though, is with the narrators for the Lysander and Lyria chapters.  The narrator who ""plays"" Lysander speaks in a clipped and businesslike manner, rarely lending any sense of drama to even some of the more dramatic sections.  There were times when I wondered if he was paid by the word and was trying to get through it as quickly as possible.  By contrast, the Lyria narrator seems to only speak in completely frantic or utterly furious tones (even when narrating very simple sections) to the point that her voice becomes grating and difficult to listen to.  Both the Lyria and Lysander narrators seem to pay little attention to punctuation, often running over obvious pauses that sometimes make it difficult to follow dialogue.,,I certainly understand why there were four narrators for this book given the story structure, I just find their quality quite disjointed.  Tim Gerard Reynolds does a fantastic job in this book as in the previous ones and I thought that the narrator for Effraim is nearly as good.  It is to the point where I dread hearing the introduction to a Lysander or Lyria chapter because while I find their stories very interesting, it can feel like a chore to get through them.,What disappointed you about Iron Gold?,I prefer to have only one person narrate the book. The multiple narrarators detracted and distracted from the book so much that I turned it off after the beginning of the 7th chapter. Booo and shame on them for thinking this was a good idea.,What was one of the most memorable moments of Iron Gold?,Poor performances.,How did the narrator detract from the book?,Why change a good thing? Tim Gerard Reynolds did a fine job of the first three books. What made them think it would be a good idea to add an additional 3 persons?,What reaction did this book spark in you? Anger, sadness, disappointment?,I'm severely disappointed in the portrayal of this book enough that I want a refund. It was not the way I intended to enjoy this book.,This book was awful, like seriously, it feels like a standalone and should have been. I love the original series and it should have ended at book 3. This one feels disjointed and all over the place. Reaching for a plot and storyline. I wanted to so badly to love it but it was such a hard listen. The first three, I couldn't wait to press play and continue when the kids were in bed or I was driving in the car--this one, I had to force myself to listen to.,,SO sad for this series.,I'll not say too much about the plot or story of Iron Gold but will say that I felt like it was a worthy sequel to the original Red Rising trilogy and that I felt the 10 year time jump and expanded POV cast did more to enhance the story than damage it. I love Darrow but I warmed to a few of the new characters and felt like they offered a different perspective on things which in turn gave the world a bit more depth to it.,Pierce Brown really is my sort of author. His writing is highly engaging and has a beautifully melancholic and poetic feel to it. His books are always intense and exciting and really drag me through the emotional ringer from start to finish. It is great when you find a book where you find the story super exciting and can emotionally engage with the characters and happenings.,On to the important stuff: Recorded Books decision to bring in three additional narrators!,I had some serious concerns going into Iron Gold when I heard that Recorded Books had decided to limit Tim Gerard Reynolds role in the book by brining in three new narrators to voice the three new POV's. The only positive was that they had retained TGR for the Darrow POV segments. I'm still puzzled by why they thought this was a good idea as TGR is one of the best narrators out there and his performance of the original Red Rising was fantastic. One of the best performances of any audio I've ever heard (and I've listened to hundreds of audios over the years!). The guy was so good he enhanced the quality of an already great story with his ability to convey emotion with his voice and his excellent voice acting.,It goes without saying that TGR's Darrow POV section of Iron Gold were as fantastic as one would expect. His take on Apollonius was stand out good and worthy of praise!,So how did the new narrators get on? They were a bit of a mixed bag.,John Curless - He did the Ephraim POV segments and I thought he was fantastic. Almost as good as TGR with his ability to convey emotions and he really got the tone and humour of the story. If he had a flaw it was that his character voices, while pretty good, were just not quite as good as TGR's. Still, he gets the thumbs up from me and I'll be happy to listen to more books he narrates in the future.,Aedin Moloney - She voiced the Lyria POV segments. I felt like she did an decent job. I took a bit of time to get used to her strong Irish accent and her dramatic style but once I did I warmed to her quickly. She struggled a little with the set voices and accents of the established characters but seemed to get the tone of the story and was also quite good at conveying emotion with her voice.,Julian Elfer - The guy voiced the Lysander bits of the story. I felt like he was the real weak link and the only narrator not up to the job. He was pretty awful. The only good thing he had going for him was that he was well-spoken and his voice was a great fit for an upper class Gold. The problem is that he was a poor voice actor and just read everything in a monotone. He even failed to get the humour which sounded decidedly off and stilted via his poorly timed delivery. He was also not great with the dialogue in general. It was often tough to figure out which characters were speaking!,At least the production by Recorded Books was not awful. To their credit they had the new narrators retain the accents used by TGR in the original RR trilogy. It is a minor thing but really makes a difference as it helps with consistency.,I feel like this would have been better if they had just stuck with TGR as the narrator for the whole book but that the additional narrators did not overly hurt my enjoyment of the audio as two of them were good and only Elfer was not up to the job.,three new narrators who haven't a clue how to read this. was so looking forward to hearing time Gérard Reynolds superb narration as before bring him back to redo this completely.  hope he's doing the rest.,Good book, but the move to multiple narrators didn't work for me overall. TGR great and Julian Elfer decent (good voice, but delivery a bit flat); John Curless seems an impressive narrator, but sounds far too old for the character he's playing, which I found jarring. However, Aedin Moloney's painfully affected, overwrought performance completely ruined those sections for me.,Great story, partially ruined by the painfully overdramatic and shrill narration of Lyria. Please recast!,Thoroughly enjoyed this latest offering by Pierce Brown. Tim Gerard Reynolds is outstanding as always. John Curless, and Aedin Moloney also do an admirable job with Lyria and Ephraim. However Julian Elfers Lysander may be some of the worst narration I've heard in my 5 years with Audible. Rushed, clipped and monotonous.,I find the mixed narration jarring. I will not be buying any more audio recordings with mixed narration. Should Pierce Brown write more in this series I will buy the ebooks but NOT the audiobook if Tim Gerrard Reynolds is not the ONLY reader.,My enjoyment of the story has suffered from the approach taken.,Think of Blood Song, first book single point of view from an amazingly crafted protagonist, the best book of its genre bar none. The next two were increasingly diabolical, complete change of style & focus to peripheral characters . This audiobook seems worse, since with the peripheral POV, you also lose Tim's amazing narration (who is the best in the business IMHO).,Nice story, only the female naration by Aedin Moloney is a constant dissonant. She sound like she’s in a chronic state of panic and anguish.,That’s all well and good when the character is actually in such a state, but not all the time...,rather glad thus is over. laboured story in places, descending into ancient world in space,Absolutely fantastic as usual.  New narrators element is fresh.  Lyria’s part is ok just when she does make parts they’re poorly done and takes you out of story.,The constant changing of narrators was annoying. Anti climax to an awesome series.,Tim should have finished it on his own.,Don't bother with this book if you enjoy the narrator. They have ruined it with multiple bad narrators.,Do not let other comments about different narrators hold you back from this book. The 4 different characters, stories, converge beautifully. I think it is also the best way for the author to continue after 3 powerful novels. There is lots going on in the worlds now and it is fitting to see 'hear' from alternate views. Listen my goodman, listen now, it gory damn prime.,As always I love the red raising series. only this time it has 3 more narrators. it took me some time to get use to and they all had different pace in their speech I had to slow down some of the narrators. Lyria's narrator was a bit too passionate... I really enjoyed the original narrator.,I love the story. This book adds another layer of depth into all of yhe characters. I feel like the book is growing darker and darker.,i cant wait for the next book.,Audio was too quiet, had keep volume twice as loud in my car,  also the narration for lycandar wasn't good, as if he was just reading of acting in character.  Story was good,  smart and nature follow up to a post revolution world. Pierce is still really good at screwing over his characters :),Darrow's narrator says ""Sir-vo"" a few times. he hasn't done this in the past.,Lysanders narrator always calls Roke ""Rock"" instead of ""R-oak"" bit annoying.,I was a bit wary of where or how the story would progress after the finale of the original trilogy. However, this is a very enjoyable read and definitely worth the credit. My only complaint is that the narrator for Lysanda seems to rush through his lines rather than spending it on inflection and pause. The other three narrators did brilliantly, with a special mention to Lyria's performer.,Levels up in the original trilogy. An astonishing achievement by a master of the craft.,A good addition to the series, the narration was really good in this one.,Great story that leaves me wanting more from the entire red rising series.,Fabulous cast with compelling performances"
"Harry Potter and the Half-Blood Prince, Book 6","Growing Up & Facts of Life,Family Life,Fantasy & Magic,Fantasy",Children's Audiobooks,"Jim Dale continues his masterpiece of narration, drawing the reader on, not as some storytellers do with a tone of gathering round the fire for a great tale, rather, as though seeing, experiencing each moment through the eyes of Harry, Dumbledore, and even Snape (ProFESSOR Snape, Harry!). Having now Audibled (yes, that's a verb in our house) 6 of the 7 Potter books back to back (I'm binge-listening much the way I binge-read the books 12 years ago) I am utterly gobsmacked at Mr. Dale's tireless energy, emotion, pacing and character throughout this series. Every voice distinct, the children's voices maturing in style and tone over the years, the adults remaining flawlessly consistent and true. These recordings are a treasure for any HP fan, and will transport (or rather reapparate) you to that magical realm of Hogwarts, Quidditch pitches, Diagon Alley, Hogsmeade and Privet Drive.  Thank you to Ms Rowling for making these favorites available to the Audible audience. And Bravo, Mr Dale.,“It is the unknown we fear when we look upon death and darkness, nothing more.”,― J.K. Rowling, Harry Potter and the Half-Blood Prince,Probably my favorite book in the series. I think this is JK Rowling at the peak of her writing, confidence, and strength. She is dealing with older protagonists and deeper, darker themes. She is dealing with themes of treachery, loss, etc.. All things that are usually dealt with in adult novels, but glossed over in YA fiction. While the literary pedant in me will sometimes cringe at her numerous clichés, there still exists a place where I'm able to ignore the rough patches that a good editor might have corrected, but these are small peeves; similar to the irritations I feel for Star Wars. Speaking of Star Wars, THIS would be JK Rowling's 'Empire Strikes Back.' The best in the series.,When Harry Potter and the Half-Blood Prince opens, the war against Voldemort has begun. The Wizarding world has split down the middle, and as the casualties mount, the effects even spill over onto the Muggles. Dumbledore is away from Hogwarts for long periods, and the Order of the Phoenix has suffered grievous losses. And yet, as in all wars, life goes on.,,Harry, Ron, and Hermione, having passed their O.W.L. level exams, start on their specialist N.E.W.T. courses. Sixth-year students learn to Apparate, losing a few eyebrows in the process. Teenagers flirt and fight and fall in love. Harry becomes captain of the Gryffindor Quidditch team, while Draco Malfoy pursues his own dark ends. And classes are as fascinating and confounding as ever, as Harry receives some extraordinary help in Potions from the mysterious Half-Blood Prince.,,Most importantly, Dumbledore and Harry work together to uncover the full and complex story of a boy once named Tom Riddle—the boy who became Lord Voldemort. Like Harry, he was the son of one Muggle-born and one Wizarding parent, raised unloved, and a speaker of Parseltongue. But the similarities end there, as the teenaged Riddle became deeply interested in the Dark objects known as Horcruxes: objects in which a wizard can hide part of his soul, if he dares splinter that soul through murder.,,Harry must use all the tools at his disposal to draw a final secret out of one of Riddle’s teachers, the sly Potions professor Horace Slughorn. Finally Harry and Dumbledore hold the key to the Dark Lord’s weaknesses... until a shocking reversal exposes Dumbledore’s own vulnerabilities, and casts Harry’s—and Hogwarts’s—future in shadow.,,Jim Dale has done an exceptional job with the narrations of the Harry Potter series. His narratives only get better and better with each book.,#Magic #Potter #Adventure #Tagsgiving #Sweepstakes,I am 11 years old and I absolutely love this book,The narrating in this book is amazing kudos to the narrator Jim Dale each character has a different voice! and of course the story is very enjoyable and that goes for all the books by J. K. Rowling,HBP is one of my favorite in the Harry Potter series.  JK Rowling delivers drama, suspense, laughs, tenderness, and heartbreak.  Kid’s series?  Not at all. The plot over the series is complex, surprising, enthralling.  Jim Dale is a wizard of a whole different kind, bringing the story to life with wonderful voices and conveyance of emotion for the characters we love.  I could not recommend his work more.,I've always loved these books, and I am so glad that they have FINALLY come to audible.  Such adventure, and fun!,I love all the voices Jim Dale does. This book is a lot better as an Audiobook! All and all, loved it,very addictive book series.  great details, plot, and phenomenal narrator.  I would recommend the entire series!,The best narrative ever! He does voices for everyone. It makes it so much fun!,“Let us step into the night and pursue that flighty temptress, adventure.”,― J.K. Rowling, Harry Potter and the Half-Blood Prince,Story:  This was always my favorite of the movies and the book certainly doesn't dissapoint!  The plot continues to thicken and this particular book finally gets into some of the darkest aspects of the entire series.  The character development is great and the story, like the other books, is beautifully descriptive, detailed and captivating.  I found myself deeply invested in the struggles of Harry, Malfoy and the other characters.  This book really gets a lot of emotions from the reader/listener.,Narration: I gave this 4 stars as I didn't think all the voices were fantastic.  I'm sure I missed this in the previous books since I was so into the story, but it's become clear that some of the female voices just aren't nearly as strong as the male voices.  Luna and Ginny stand out, but I believe there was another female character in there that fell short of what I would have expected.  Aside from that, the other characters and the way Jim Dale captures the emotions is great!,Overall:  Half-Blood Prince is simply phenomenal.  This book does a great job of explaining so, so much about the entire series.  It also builds up to the final book which I've never read, but I'm sure will be amazing.  I'm a fan of this book in particular as it gets darker; you can feel the struggle and emotions of the characters and it's thrilling!  A great novel and a great addition to the series."
Crystal World,"Hard Science Fiction,Military,Space Opera",Science Fiction & Fantasy,"I've enjoyed this series as much, if not more, than some of B.V. Larson's others but, regrettably, it's getting a bit ""long in the tooth"" and fairly predictable. Some of the sub-plots were uninteresting because of their predictability and came across as filler material. The ending chapters were rushed and uninventive. They seemed like they were meant to be a way to end the series but also leave enough wiggle-room to continue later.,,While I enjoyed this series, I won't be continuing it.,Compared to the earlier books the last few are very short on world. They mostly take place on earth and are take a long time to lead up to a mission followed by the mission ending quickly with nothing really happening,This book was not up to par for the story line you can definitely do better!,I enjoy this series but this story felt like a throw away in the series.,You might think after 20 books the story of James McGill would be worn out and stale. Not so, I’m looking forward to the next one. So, B.V. Hurry up with 21!,Continuity between characters and the continuation of another great story. Always enjoy Mark Boyett’s voice characters and the continuing story always leaves you waiting for the next one in the series.,some of the voices were different, and the story really didn't go anywhere. Seemed like this was filler.,This has to be a masterpiece of narration Mark Boyett wow what a amazing job he does with this series! It’s hard not to like James McGill narcissistic adventures. It’s as good as it gets and he keeps getting you laughing through the whole book. I’m hoping we get a book taking him in to the galactic empires war next.,My only gripe is there was no “ass over tea kettle” to be heard in this book,,I love the dynamic duo of BV Larson and Mark boyett BV Larson's writing is amazing as always and Mark boyett pregnant the characters to life with unique voices for each one this story was riveting from start to finish it keeps you from everyone to put it down makes you find no excuses to get back to your book to stay up late until you finish and you still want more I can't wait for the next book I love this series if you haven't tried it or if you haven't heard this one in it you must get it now you will thank yourself for it,McGill - Delivers as always, non stop fun. Looking forward to the next book in this amazing series. Allot of opportunities for new plots 😊,Great book love the story and the book narration can’t wait for the next one I highly recommend this book and the rest of the book series ⭐️⭐️⭐️⭐️⭐️😀👍,Just when you settle and think it's going somewhere somewhat predictable.. Nope!,Raash (spelling?) was hilarious this book.,Really enjoyed it, can't wait for the next one!,Had a lot of fun listening to this new story with a contiunuation of the story from the series looking forward to the next one,After 20 of these books, it is fair to say; I’m rusted on. They just scratch an itch that sits in some juvenile part of my mind. There is so much wrong with them, but they successfully transport me into another universe. I love them... I enjoy them, and the thing that annoys me the most is reaching the end of each book and thinking that the lead character is getting dumber after each revive and that the authors n Xu book is almost a year away.,I don’t think the audio franchise will survive Mark Boyett leaving it. His voice is the voice of McGill (and in this book, you could hear the wear in his voice when he did other characters). Boyett isn’t Casy Kasem or Michael Jayston, but I’m beginning to appreciate him as if he was. In fact I’m convinced that no small part of my love affair with this series is directly Boyett. He just does the character so well.,My feeling in the last two or so books is that B.V Larson has been stumbling, and in this I’m pretty sure I’m on the money as this book, he’s flexing and building future storyline’s and they are becoming far more interesting. The limitations of a few key characters have been sidelined in this story and to be honest it was a nice respite. Allowing the development of some key characters for the greater story arc. Larson looks like he’s writing again rather than cruising along like a very competent SF hack.,If you’re a fan of the series, genre and oeuvre, then this was a burst of feel good fantasy that satisfies. I enjoyed it, but now I’ll have to wait for the next audio book. If I can’t wait I’ll go buy the paperback, but I think I’ll miss Boyett voice. He gives the series a life that the writing sometimes doesn’t really exhibit. Together they have made a mighty radio series and I am definitely a fan.,Good story, with twists, tails and interactions to keep you entertained. Looking forward to the next instalment."
Queen of Shadows,"Fantasy,Action & Adventure,Epic,Quran Arabic",Teen & Young Adult,"First off, I should point out that yes, this is book four of the series, and I've read none of the previous three. Also, there's a good bit of Grimdark about this, with everyone doing or having done awful things, and mostly willing to do more awful things. And at the end, we have a resolution to the story within this book, but no resolution of the larger issues, and much more bad stuff to come in future volumes.,So, really, at some point, I should have been overcome with the desire to throw it against the wall, except for two things. One, it's the audiobook. Two, I loved it.,Aelin Galathynius (guessing on the spelling of the last name), rightful heir to the throne of Terrasen (another spelling guess) has quietly returned to Rifthold, the capital of the bitter enemy who killed her family and conquered her kingdom. She wants revenge on the King of Adarlan, but he's not the only target of her vengeance. She was hardly more than a child when she fled her family's killers, and she's just nineteen now, but she's packed a lot into those years. She trained as an assassin under Rifthold's king of the assassin's guild, under the name Celaena Sardothien. Part Fae herself and possessing Fae fire magic, she traveled to the Fae lands and learned the use of her magic there--and made a valuable friend in Prince Rowan. She's back now to rescue her friend and cousin General Aedion and her friend Prince Dorian. She needs to know if Chaol Westphal, captain of the guard, is still a friend. She's been through horrors, she has done horros, and she has more to face and do before she can hope for anything vaguely resembling peace.,This is a dark and bloody story, but I like Aelin, Rowan, Aedion, Chaol and his second, Nesryn, and  Aelin's old rival Lysandra. Along with the darkness and blood, Queen of Shadows has romance, male friendship, female friendship, and male-female friendship, all treated in adult, satisfying, compelling way. Because, as I mentioned, I've read none of the previous three books, there's a lot I was trying to pick up as the story went along, but Maas salted in enough background in unobtrusive ways that if I didn't always know exactly what was going on at first, I was picking up enough to enjoy continuing to listen.,Highly recommended.,I received a free copy of this audiobook from Audible in exchange for an honest review.,Fantastic continuation of the story. Each book just gets better and better.  I couldn't stop listening to it. The only negative is waiting for the next book.  Sarah J Maas is a very talented writer.,I couldn't wait for this book, and pre-ordered the day it was listed on Audible...,I won't go into as many details on this review as I usually might, because I don't want to get into too much that might ruin it for the fans of this series... BUT, I will say that we get to see Celaena's return to Rifthold, and there is nothing but constant battles, fights, secrets and past histories reveled, and everything that the readers of this series have been waiting for... AND THERE IS STILL MORE TO COME! Although I would say the series ended in a cliff hanger like some of the previous ones did, there is definitely MUCH more story to be told, and the book ends in such a way that we know that the story will continue.,TEASER: The fight between Celaena and the king is AWESOME!,All-in-all: YOU WILL NOT BE DISAPPOINTED!,Any additional comments?,This series has everything a fantasy reader desires! I literally couldn't take head phones off.  We finally get a stand off between the king and the assassin and it doesn't disappoint. I have found myself in love with the Wing leader too.  Can't wait to see how the final battle turns out.,I've noticed trends in a lot of the YA scifi books that I've read, particularly those with a strong female lead, and this one followed all of them.  It has the usual love story/triangle, and the usual rise from the lower class, and a strong female protagonist - which to be clear, I always enjoy, AND, this book still managed to give you a plot line to love, even though you've kind of heard it all before.,This one brought me back, I had lost a little hope in the last book, but this book brought me back to loving the story, and I've already set alerts on my phone to remind me to check when the next book will be released.,I cannot explain how much this series keeps getting better and better. This book gave me something that I never knew I was waiting for HAPPINESS! the whole book is just intense and action packed. So much happens and so much that I expected to happen and not to expect happen. True bliss! Now I cannot wait another year....ugh. 😢,I wish I could give this book a million stars, because it deserves every single single one. The combination of Maas' elegant and exciting style of writing with Evan's brilliant narration will make one hard pressed to hit the pause button. Though I have loved all three previous books in this series, this one is my favorite by the tiniest margin. The reason for this is tied into the enormous level of skill that Maas possesses in creating a deep emotional attachment between the reader and characters. I have been rooting for Celaena Sardothien, now Queen Aelin Ashryver Galathynius, for years. I found her intriguing and fierce throughout Throne of Glass and Crown of Midnight. Then in Heir of Fire, I started to respect and admire the woman and queen she was becoming. I could go on and on, but for the sake of those reading this I will cut it short. This book, or rather series, is a must read for any true lover of the fantasy and even epic genres. There are a plethora of characters to love, hate, and never be able to quite make up your mind about. You will not regret the read or listen.,Sarah Mass gets better and better with each book of the series. A marvelously developed plot that continues to expand. Characters interesting and imperfect.  Just finished the second read!,So much happens in this book, the storyline, the characters, the relationship between the characters... Seriously, WOW! Can't say that I'd expected any of it. Authers who write books like this series are without a doubt geniuses, cunning, able to so gallantly create life-like characters. Characters that have faults and that continues to grow. Five stars easily!,I really love ToG. Book 1-3 were good but book 4...I’m done with this book.,I have all these audible books and I just had to write how amazing these books are a easy listen and a great story weaves with magic and witches and fire hearts it’s well narrated and even my partner enjoys listening to this and he is not a fiction fan :),The description is amazing and there are definitely some twists in this story!! This book will grip you!!,Love this book as much as all the others. Sets up the next book nicely.,I love aelin and aedion. I wish rowan was mode open but I love his silent broodiness,This book is amazing, I could hardly put it down! I love the characters more and more as I read this fantastic series. It gets better with every book! Praise to Sarah J. Maas for the extraordinary imagination, time and effort that has gone into writing this series! Amazing!,I just wish I could afford to listen to the rest of the series 😕,Awesome book couldn't stop listening to it. It gets better and better very good fantasy.,This book makes me feel for the characters.  The plot is intricate and surprising.  What more could you want.,I loved every single chapter the book keept me awake at night the narrator is the best I love her voice,I couldn't stop listening to this. The story line and the narration were absolutety superb.,I loved Heir of Fire so much but Queen of Shadows goes to another level! All of the characters development is phenomenal and Aelin and Rowan... EEEEEEE!,loved it Couldn't put it down ! Such a compelling read! Can""t wait for the next book in this series!,Gripping, story incredibly gets better and better! Off to start the next book now! Love it!,I absolutely loved it!! so cant wait for the next book!! Had me absorbed and wanting to know what happens next to them all, all the way through the book. was sad when the book ended and wasnt another one out yet to read.,It's a wonderful story, I found this book kept me on edge, I couldn't pause it 😀,Love the books first time reading after 15 years and plan to continue the serie,It’s been a LONG time since I have got so engrossed in a Saga. Each book so far has been Brilliant.,Onto book 5 now.,Great book. Just finished listening and my poor heart doesn’t know what to do with all these different emotions. So much pain and so much to celebrate. After binging the last couple books I’m going to take a beat to recover and reenter the real world as I know once I start the next book I will be entranced as though I’m wearing a ring myself.,One of the best series I have ever listened too! Narrating is superb and keeps to totally gripped the whole time! I will be very upset one I have finished!,This was my first re-read and BY THE WYRD it was brilliant! My favourite series by far."
Blood & Steel,"Fantasy,Epic",Romance,no reviews
Thinking About Your Thinking,Management & Leadership,Business & Careers,no reviews
The Great Disappearance,"Prophecies,Social Issues,Christian Eschatology",Religion & Spirituality,no reviews
